Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2021,Miami-Dade,FL,Passenger,1,0,1,98,99,1.01
May 31 2019,Mason,WA,Truck,0,0,0,20361,20361,0.00
January 31 2021,Nueces,TX,Passenger,1,0,1,83,84,1.19
October 31 2021,Yavapai,AZ,Passenger,0,1,1,38,39,2.56
August 31 2020,Guadalupe,TX,Passenger,1,0,1,63,64,1.56
June 30 2017,Skamania,WA,Passenger,9,7,16,8565,8581,0.19
May 31 2021,Columbia,WA,Truck,0,0,0,1551,1551,0.00
September 30 2020,Honolulu,HI,Passenger,5,2,7,449,456,1.54
February 28 2021,Clark,WA,Truck,0,0,0,83518,83518,0.00
January 31 2018,Spokane,WA,Truck,1,0,1,91730,91731,0.00
October 31 2017,Duval,FL,Passenger,1,1,2,368,370,0.54
September 30 2019,Lincoln,WA,Truck,0,0,0,4689,4689,0.00
July 31 2021,Santa Clara,CA,Passenger,8,2,10,264,274,3.65
February 28 2023,Williamson,TX,Passenger,0,2,2,59,61,3.28
April 30 2018,Manassas,VA,Passenger,0,1,1,9,10,10.00
August 31 2020,San Juan,WA,Truck,0,0,0,5835,5835,0.00
October 31 2023,Klickitat,WA,Truck,13,0,13,8133,8146,0.16
December 31 2017,Morris,NJ,Passenger,1,0,1,21,22,4.55
January 31 2022,Plaquemines,LA,Passenger,0,1,1,18,19,5.26
August 31 2023,Albemarle,VA,Passenger,1,0,1,13,14,7.14
June 30 2022,Owyhee,ID,Passenger,1,0,1,2,3,33.33
September 30 2022,Las Animas,CO,Passenger,1,0,1,1,2,50.00
September 30 2018,Saratoga,NY,Passenger,1,0,1,60,61,1.64
June 30 2018,Thurston,WA,Truck,0,0,0,54327,54327,0.00
January 31 2017,Grays Harbor,WA,Passenger,27,24,51,44312,44363,0.11
June 30 2019,Broward,FL,Passenger,2,1,3,128,131,2.29
